index,dataset,prompt,iou,dice,precision,recall,gt_coverage
356,drywall,segment taping area,0.786626,0.880571,0.809767,0.964943,19.62
99,drywall,segment taping area,0.790266,0.882848,0.913695,0.854016,3.44
171,drywall,segment taping area,0.793829,0.885066,0.807276,0.979447,5.07
290,cracks,segment crack,0.794539,0.885508,0.805189,0.983626,6.25
97,drywall,segment taping area,0.795970,0.886396,0.981677,0.807974,4.00
347,drywall,segment taping area,0.796337,0.886623,0.871688,0.902080,8.92
122,drywall,segment taping area,0.796574,0.886770,0.912676,0.862295,18.00
181,drywall,segment taping area,0.798505,0.887965,0.914747,0.862707,5.47
197,drywall,segment taping area,0.798780,0.888136,0.997760,0.800216,10.87
252,drywall,segment taping area,0.799866,0.888806,0.956612,0.829976,7.02
366,drywall,segment taping area,0.799873,0.888811,0.983842,0.810520,8.36
74,cracks,segment crack,0.801474,0.889798,0.839203,0.946886,10.82
90,cracks,segment crack,0.803529,0.891063,0.889589,0.892543,7.57
261,drywall,segment taping area,0.804078,0.891400,0.888895,0.893920,18.83
47,drywall,segment taping area,0.808301,0.893990,0.809081,0.998809,7.79
393,drywall,segment taping area,0.810066,0.895068,0.946814,0.848684,2.56
303,drywall,segment taping area,0.810681,0.895443,0.814760,0.993862,31.86
88,drywall,segment taping area,0.810938,0.895600,0.874454,0.917794,20.15
323,drywall,segment taping area,0.811328,0.895838,0.936048,0.858940,8.00
324,drywall,segment taping area,0.811996,0.896245,0.822912,0.983927,7.02
91,drywall,segment taping area,0.814064,0.897503,0.857427,0.941509,16.08
195,drywall,segment taping area,0.814494,0.897764,0.943390,0.856348,7.02
121,drywall,segment taping area,0.815592,0.898431,0.857517,0.943444,8.38
93,drywall,segment taping area,0.816581,0.899031,0.842940,0.963118,11.18
308,drywall,segment taping area,0.816735,0.899124,0.845444,0.960083,57.28
377,drywall,segment taping area,0.817856,0.899803,0.857943,0.945957,6.48
30,cracks,segment crack,0.818368,0.900112,0.853661,0.951910,2.57
32,drywall,segment taping area,0.819085,0.900546,0.992427,0.824236,8.70
361,drywall,segment taping area,0.820212,0.901227,0.827841,0.988889,25.47
344,cracks,segment crack,0.820829,0.901599,0.877083,0.927526,5.32
260,cracks,segment crack,0.821823,0.902198,0.968949,0.844052,4.35
108,drywall,segment taping area,0.822620,0.902679,0.988010,0.830915,31.67
135,drywall,segment taping area,0.823346,0.903116,0.833322,0.985669,36.18
383,drywall,segment taping area,0.825055,0.904143,0.857440,0.956226,9.47
256,drywall,segment taping area,0.825524,0.904424,0.911099,0.897845,24.80
359,drywall,segment taping area,0.827726,0.905744,0.864796,0.950762,3.94
331,drywall,segment taping area,0.828285,0.906079,0.920953,0.891677,17.30
400,drywall,segment taping area,0.828721,0.906339,0.864059,0.952969,18.79
401,drywall,segment taping area,0.830025,0.907119,0.949158,0.868645,64.14
1,drywall,segment taping area,0.830533,0.907422,0.849853,0.973358,51.97
184,drywall,segment taping area,0.831080,0.907749,0.836185,0.992708,4.69
167,drywall,segment taping area,0.831686,0.908110,0.883781,0.933817,9.26
354,drywall,segment taping area,0.834063,0.909525,0.883032,0.937656,19.70
111,drywall,segment taping area,0.834173,0.909590,0.882290,0.938633,42.49
389,drywall,segment taping area,0.834454,0.909757,0.918028,0.901634,3.23
248,drywall,segment taping area,0.837104,0.911330,0.937212,0.886838,9.53
65,drywall,segment taping area,0.837190,0.911381,0.980139,0.851638,52.91
129,drywall,segment taping area,0.837418,0.911516,0.960494,0.867291,58.88
11,cracks,segment crack,0.838031,0.911879,0.881243,0.944723,2.39
115,drywall,segment taping area,0.838144,0.911946,0.872692,0.954897,19.70
2,drywall,segment taping area,0.840703,0.913459,0.860110,0.973864,8.38
161,drywall,segment taping area,0.842726,0.914652,0.883046,0.948603,11.41
233,drywall,segment taping area,0.842906,0.914757,0.887813,0.943388,12.48
325,drywall,segment taping area,0.846445,0.916838,0.933243,0.900999,15.33
103,drywall,segment taping area,0.847079,0.917209,0.864322,0.976992,6.79
120,drywall,segment taping area,0.849678,0.918731,0.967306,0.874801,4.90
386,drywall,segment taping area,0.850098,0.918976,0.950141,0.889790,46.19
102,drywall,segment taping area,0.850681,0.919316,0.908202,0.930707,18.00
217,drywall,segment taping area,0.851016,0.919512,0.878379,0.964688,11.41
37,drywall,segment taping area,0.852287,0.920254,0.986413,0.862411,11.78
29,drywall,segment taping area,0.852469,0.920360,0.871745,0.974718,4.01
189,drywall,segment taping area,0.856501,0.922704,0.918386,0.927064,26.10
343,drywall,segment taping area,0.856615,0.922771,0.993250,0.861631,8.21
350,drywall,segment taping area,0.858855,0.924069,0.940721,0.907996,4.70
23,drywall,segment taping area,0.859202,0.924270,0.869271,0.986698,21.86
322,drywall,segment taping area,0.859432,0.924403,0.894473,0.956405,21.96
16,drywall,segment taping area,0.860651,0.925108,0.975279,0.879846,12.80
40,drywall,segment taping area,0.861579,0.925643,0.971475,0.883941,2.81
241,drywall,segment taping area,0.863630,0.926825,0.931352,0.922343,18.83
76,drywall,segment taping area,0.864439,0.927291,0.913063,0.941970,15.42
397,drywall,segment taping area,0.864714,0.927449,0.889588,0.968677,10.12
305,drywall,segment taping area,0.866234,0.928323,0.910449,0.946913,26.46
42,drywall,segment taping area,0.867223,0.928891,0.984728,0.879046,12.73
334,drywall,segment taping area,0.868642,0.929704,0.951573,0.908817,6.66
143,drywall,segment taping area,0.868931,0.929870,0.927147,0.932608,3.27
207,drywall,segment taping area,0.870055,0.930513,0.883376,0.982964,14.53
355,drywall,segment taping area,0.870653,0.930855,0.879164,0.989003,36.19
63,drywall,segment taping area,0.871099,0.931110,0.907484,0.955998,13.14
367,drywall,segment taping area,0.871456,0.931313,0.931680,0.930947,21.43
