index,dataset,prompt,iou,dice,precision,recall,gt_coverage
208,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,2.91
211,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,0.00
165,cracks,segment crack,0.001644,0.003282,0.003584,0.003027,2.74
202,cracks,segment crack,0.016962,0.033358,0.843074,0.017016,26.29
224,cracks,segment crack,0.042895,0.082262,0.883692,0.043139,7.91
204,cracks,segment crack,0.074781,0.139156,0.130843,0.148597,4.13
336,drywall,segment taping area,0.083508,0.154144,0.648909,0.087459,4.90
18,cracks,segment crack,0.087271,0.160532,0.472741,0.096681,4.66
242,cracks,segment crack,0.110037,0.198259,1.000000,0.110037,1.31
221,drywall,segment taping area,0.128239,0.227327,0.129389,0.935216,4.56
169,cracks,segment crack,0.131423,0.232314,0.967065,0.132014,22.75
124,cracks,segment crack,0.133848,0.236095,0.173623,0.368789,8.16
174,cracks,segment crack,0.192800,0.323273,0.621707,0.218424,7.73
218,cracks,segment crack,0.197562,0.329940,0.512286,0.243328,3.87
319,cracks,segment crack,0.200244,0.333672,0.200343,0.997528,1.09
333,cracks,segment crack,0.229907,0.373861,0.309714,0.471521,7.36
57,cracks,segment crack,0.231196,0.375564,0.755463,0.249898,7.77
232,cracks,segment crack,0.252583,0.403299,0.982474,0.253726,11.97
369,cracks,segment crack,0.253074,0.403925,0.317332,0.555514,2.63
227,cracks,segment crack,0.259018,0.411460,0.981034,0.260321,20.04
194,drywall,segment taping area,0.270783,0.426167,1.000000,0.270783,1.00
131,cracks,segment crack,0.273050,0.428969,0.274785,0.977399,2.37
339,cracks,segment crack,0.276569,0.433301,0.318634,0.676897,2.88
119,cracks,segment crack,0.281843,0.439746,0.282078,0.997050,0.66
101,cracks,segment crack,0.287723,0.446871,0.462534,0.432233,6.92
94,cracks,segment crack,0.291049,0.450872,1.000000,0.291049,4.67
106,cracks,segment crack,0.293231,0.453486,0.914061,0.301545,5.37
301,drywall,segment taping area,0.306247,0.468896,0.331440,0.801155,20.38
372,cracks,segment crack,0.311167,0.474642,0.311246,0.999190,0.60
254,cracks,segment crack,0.311754,0.475324,0.314453,0.973214,1.12
293,cracks,segment crack,0.313625,0.477495,0.998526,0.313770,4.22
216,cracks,segment crack,0.321342,0.486388,0.969989,0.324569,4.01
387,cracks,segment crack,0.323644,0.489020,0.915999,0.333544,3.10
19,cracks,segment crack,0.338579,0.505878,0.695274,0.397577,2.80
70,cracks,segment crack,0.341975,0.509659,0.883633,0.358102,4.93
56,cracks,segment crack,0.344632,0.512605,0.345191,0.995329,1.25
341,cracks,segment crack,0.348834,0.517237,0.948014,0.355637,4.62
113,cracks,segment crack,0.353575,0.522432,0.996050,0.354072,7.82
328,cracks,segment crack,0.354778,0.523743,0.997233,0.355127,12.39
317,cracks,segment crack,0.355778,0.524832,0.959893,0.361147,4.37
288,drywall,segment taping area,0.358396,0.527675,0.382050,0.852698,1.54
6,cracks,segment crack,0.361788,0.531343,0.362129,0.997407,2.45
392,cracks,segment crack,0.362270,0.531862,0.411253,0.752570,7.58
175,cracks,segment crack,0.374423,0.544844,0.922264,0.386625,15.93
83,drywall,segment taping area,0.379419,0.550115,0.867599,0.402739,39.46
299,cracks,segment crack,0.383027,0.553897,0.658380,0.478034,2.15
72,cracks,segment crack,0.384211,0.555134,0.397832,0.918183,3.11
107,cracks,segment crack,0.391077,0.562265,0.405009,0.919146,1.19
