index,dataset,prompt,iou,dice,precision,recall,gt_coverage
113,cracks,segment crack,0.000000,0.000000,0.000000,0.000000,7.82
208,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,2.91
211,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,0.00
224,cracks,segment crack,0.023463,0.045851,0.916968,0.023513,7.91
242,cracks,segment crack,0.029182,0.056709,1.000000,0.029182,1.31
202,cracks,segment crack,0.074134,0.138035,0.862651,0.075020,26.29
218,cracks,segment crack,0.087741,0.161328,0.655576,0.091982,3.87
54,cracks,segment crack,0.110537,0.199069,0.352067,0.138766,1.54
221,drywall,segment taping area,0.115609,0.207258,0.118314,0.834905,4.56
169,cracks,segment crack,0.118378,0.211696,0.981449,0.118644,22.75
204,cracks,segment crack,0.154212,0.267216,0.267836,0.266600,4.13
319,cracks,segment crack,0.180056,0.305165,0.180129,0.997753,1.09
333,cracks,segment crack,0.211834,0.349609,0.273952,0.482999,7.36
174,cracks,segment crack,0.215450,0.354520,0.601755,0.251279,7.73
131,cracks,segment crack,0.217432,0.357197,0.217667,0.995046,2.37
369,cracks,segment crack,0.232657,0.377489,0.302100,0.503015,2.63
227,cracks,segment crack,0.250173,0.400221,0.978251,0.251572,20.04
89,drywall,segment taping area,0.251680,0.402148,0.261230,0.873169,7.63
301,drywall,segment taping area,0.256807,0.408666,0.297603,0.651976,20.38
83,drywall,segment taping area,0.257508,0.409553,0.467172,0.364586,39.46
293,cracks,segment crack,0.267045,0.421524,0.999783,0.267060,4.22
94,cracks,segment crack,0.267286,0.421825,1.000000,0.267286,4.67
57,cracks,segment crack,0.282333,0.440343,0.740257,0.313378,7.77
392,cracks,segment crack,0.284722,0.443243,0.331209,0.669814,7.58
240,cracks,segment crack,0.311622,0.475171,0.552615,0.416764,2.08
70,cracks,segment crack,0.313612,0.477480,0.828925,0.335315,4.93
317,cracks,segment crack,0.315111,0.479216,0.954636,0.319902,4.37
19,cracks,segment crack,0.322523,0.487739,0.696200,0.375349,2.80
216,cracks,segment crack,0.328746,0.494821,0.850467,0.348914,4.01
339,cracks,segment crack,0.332217,0.498743,0.355988,0.832641,2.88
254,cracks,segment crack,0.332441,0.498996,0.335434,0.973868,1.12
124,cracks,segment crack,0.334546,0.501363,0.496582,0.506237,8.16
312,drywall,segment taping area,0.337091,0.504216,0.337702,0.994665,10.30
232,cracks,segment crack,0.345014,0.513027,0.991298,0.346062,11.97
101,cracks,segment crack,0.350210,0.518749,0.915374,0.361928,6.92
336,drywall,segment taping area,0.355263,0.524272,0.998739,0.355423,4.90
372,cracks,segment crack,0.355463,0.524489,0.355719,0.997974,0.60
201,cracks,segment crack,0.359432,0.528797,0.359516,0.999351,2.26
264,cracks,segment crack,0.360192,0.529619,0.370722,0.926907,3.52
107,cracks,segment crack,0.362108,0.531688,0.369747,0.946029,1.19
87,cracks,segment crack,0.365719,0.535570,0.998221,0.365958,7.49
348,cracks,segment crack,0.371000,0.541211,0.762893,0.419355,3.75
341,cracks,segment crack,0.371277,0.541506,0.932799,0.381481,4.62
288,drywall,segment taping area,0.381500,0.552298,0.401382,0.885079,1.54
299,cracks,segment crack,0.384206,0.555128,0.683721,0.467249,2.15
123,drywall,segment taping area,0.387943,0.559018,0.395248,0.954524,1.03
6,cracks,segment crack,0.388779,0.559886,0.391800,0.980554,2.45
106,cracks,segment crack,0.391541,0.562744,0.917334,0.405861,5.37
119,cracks,segment crack,0.391792,0.563003,0.392935,0.992625,0.66
200,cracks,segment crack,0.395163,0.566476,0.445773,0.776816,9.88
18,cracks,segment crack,0.395573,0.566897,0.919535,0.409757,4.66
165,cracks,segment crack,0.402733,0.574212,0.947185,0.411985,2.74
199,cracks,segment crack,0.409046,0.580599,0.409769,0.995701,3.92
73,cracks,segment crack,0.410177,0.581738,0.410177,1.000000,0.87
228,cracks,segment crack,0.413519,0.585091,0.485152,0.736887,1.43
78,cracks,segment crack,0.415149,0.586721,0.988273,0.417204,5.38
138,cracks,segment crack,0.416271,0.587841,0.711935,0.500587,11.86
105,drywall,segment taping area,0.420895,0.592436,0.486063,0.758413,1.54
98,drywall,segment taping area,0.421785,0.593318,0.439964,0.910777,2.63
44,cracks,segment crack,0.427376,0.598827,0.612427,0.585818,5.89
274,drywall,segment taping area,0.431338,0.602706,0.434682,0.982481,1.91
22,cracks,segment crack,0.434023,0.605322,0.955552,0.442966,13.48
315,cracks,segment crack,0.435301,0.606564,0.443226,0.960543,2.88
370,cracks,segment crack,0.435795,0.607043,0.451935,0.924255,0.86
9,cracks,segment crack,0.436743,0.607962,0.437707,0.994980,1.17
300,cracks,segment crack,0.439174,0.610314,0.595966,0.625371,1.81
328,cracks,segment crack,0.439742,0.610862,0.989366,0.441830,12.39
13,drywall,segment taping area,0.440793,0.611876,0.997793,0.441223,54.53
266,cracks,segment crack,0.440895,0.611973,0.996904,0.441499,5.34
116,cracks,segment crack,0.446241,0.617105,0.851955,0.483753,15.15
248,drywall,segment taping area,0.456136,0.626502,0.934387,0.471229,9.53
183,cracks,segment crack,0.457529,0.627814,0.469645,0.946622,4.25
26,drywall,segment taping area,0.462302,0.632293,0.995631,0.463241,54.53
245,drywall,segment taping area,0.462620,0.632591,0.464845,0.989759,2.62
150,cracks,segment crack,0.469376,0.638878,0.722238,0.572769,2.11
56,cracks,segment crack,0.471214,0.640579,0.479320,0.965356,1.25
33,cracks,segment crack,0.472039,0.641341,0.480057,0.965826,4.17
295,cracks,segment crack,0.475035,0.644100,0.919407,0.495676,11.88
191,cracks,segment crack,0.475353,0.644393,0.475486,0.999413,1.25
212,cracks,segment crack,0.476286,0.645249,0.481239,0.978851,0.53
390,cracks,segment crack,0.482712,0.651120,0.817816,0.540874,3.21
391,cracks,segment crack,0.483124,0.651495,0.708521,0.602965,1.98
134,cracks,segment crack,0.489988,0.657708,0.571316,0.774880,0.92
79,cracks,segment crack,0.490545,0.658209,0.589902,0.744407,1.00
198,cracks,segment crack,0.492935,0.660357,0.504152,0.956813,4.48
194,drywall,segment taping area,0.493227,0.660619,0.810314,0.557608,1.00
148,cracks,segment crack,0.499266,0.666014,0.515761,0.939799,25.63
172,cracks,segment crack,0.502440,0.668832,0.802175,0.573500,2.10
182,cracks,segment crack,0.503765,0.670005,0.558074,0.838100,1.03
84,drywall,segment taping area,0.503863,0.670091,0.523103,0.931968,8.08
313,cracks,segment crack,0.504222,0.670409,0.514052,0.963462,4.40
329,cracks,segment crack,0.507118,0.672964,0.683259,0.662974,11.50
145,cracks,segment crack,0.514647,0.679560,0.516305,0.993798,1.30
177,cracks,segment crack,0.516019,0.680755,0.958533,0.527801,2.31
287,cracks,segment crack,0.516851,0.681479,0.557512,0.876339,0.55
81,cracks,segment crack,0.519818,0.684053,0.528638,0.968902,1.61
298,cracks,segment crack,0.521385,0.685408,0.992976,0.523315,4.09
36,cracks,segment crack,0.524237,0.687868,0.849757,0.577792,10.14
230,cracks,segment crack,0.527740,0.690877,0.688424,0.693348,2.49
43,cracks,segment crack,0.528402,0.691444,0.658289,0.728115,1.24
159,cracks,segment crack,0.530032,0.692838,0.530305,0.999028,1.76
140,cracks,segment crack,0.539791,0.701122,0.954350,0.554098,9.19
368,drywall,segment taping area,0.540125,0.701404,0.618784,0.809488,28.26
109,cracks,segment crack,0.540843,0.702009,0.594831,0.856299,1.53
24,cracks,segment crack,0.544925,0.705439,0.555091,0.967485,6.00
72,cracks,segment crack,0.545166,0.705641,0.573829,0.916065,3.11
275,cracks,segment crack,0.551986,0.711328,0.983641,0.557100,4.69
284,cracks,segment crack,0.554566,0.713467,0.745000,0.684495,1.49
67,cracks,segment crack,0.554991,0.713819,0.989488,0.558283,4.16
365,cracks,segment crack,0.559805,0.717789,0.745907,0.691713,5.40
234,cracks,segment crack,0.562971,0.720386,0.951924,0.579446,5.98
250,drywall,segment taping area,0.566258,0.723071,0.920450,0.595396,4.19
394,cracks,segment crack,0.570857,0.726810,0.794343,0.669860,3.70
327,cracks,segment crack,0.571042,0.726960,0.716377,0.737859,12.50
17,cracks,segment crack,0.571795,0.727570,0.572531,0.997760,0.65
357,cracks,segment crack,0.574355,0.729639,0.652610,0.827285,5.36
239,cracks,segment crack,0.574901,0.730079,0.761577,0.701082,1.47
373,cracks,segment crack,0.575658,0.730689,0.743639,0.718182,3.44
141,cracks,segment crack,0.579665,0.733909,0.582695,0.991110,1.24
388,cracks,segment crack,0.581003,0.734981,0.927109,0.608814,4.05
257,cracks,segment crack,0.582778,0.736399,0.833400,0.659624,4.60
185,cracks,segment crack,0.584277,0.737594,0.616866,0.917078,1.24
332,cracks,segment crack,0.587034,0.739788,0.594970,0.977784,7.17
297,cracks,segment crack,0.589354,0.741627,0.824781,0.673704,1.57
306,cracks,segment crack,0.590961,0.742898,0.764007,0.722924,3.86
15,drywall,segment taping area,0.593273,0.744722,0.599422,0.983004,2.47
206,cracks,segment crack,0.593414,0.744833,0.997798,0.594192,5.21
186,cracks,segment crack,0.594968,0.746056,0.803922,0.695961,4.70
210,drywall,segment taping area,0.595312,0.746327,0.654548,0.868041,45.78
137,cracks,segment crack,0.596270,0.747079,0.768672,0.726667,2.42
168,drywall,segment taping area,0.598384,0.748736,0.638546,0.904888,1.76
49,cracks,segment crack,0.602142,0.751671,0.818995,0.694576,9.98
387,cracks,segment crack,0.607795,0.756060,0.855365,0.677414,3.10
276,cracks,segment crack,0.608989,0.756984,0.839416,0.689293,8.21
164,cracks,segment crack,0.609412,0.757310,0.773438,0.741840,2.23
251,cracks,segment crack,0.613092,0.760145,0.737359,0.784385,2.15
330,cracks,segment crack,0.613535,0.760486,0.978068,0.622094,1.73
114,cracks,segment crack,0.614064,0.760892,0.675910,0.870316,3.60
8,drywall,segment taping area,0.614794,0.761452,0.995251,0.616603,10.87
117,cracks,segment crack,0.615635,0.762096,0.622880,0.981456,0.90
304,cracks,segment crack,0.617201,0.763295,0.625066,0.980021,1.19
381,cracks,segment crack,0.618250,0.764097,0.921966,0.652388,1.24
292,cracks,segment crack,0.618614,0.764375,0.651627,0.924304,2.69
39,cracks,segment crack,0.620564,0.765862,0.678448,0.879132,3.16
149,drywall,segment taping area,0.623721,0.768261,0.791060,0.746739,2.47
338,drywall,segment taping area,0.625576,0.769667,0.644466,0.955243,1.91
311,cracks,segment crack,0.625789,0.769828,0.898387,0.673456,3.78
316,cracks,segment crack,0.626585,0.770430,0.693895,0.865941,3.68
289,cracks,segment crack,0.626767,0.770568,0.812861,0.732458,4.31
238,cracks,segment crack,0.628117,0.771587,0.752427,0.791749,1.86
45,cracks,segment crack,0.629114,0.772339,0.629746,0.998408,2.45
46,cracks,segment crack,0.630274,0.773212,0.740828,0.808557,1.34
181,drywall,segment taping area,0.635821,0.777373,0.953032,0.656389,5.47
342,cracks,segment crack,0.635863,0.777404,0.671706,0.922578,4.89
282,cracks,segment crack,0.635872,0.777411,0.745625,0.812028,1.49
179,cracks,segment crack,0.637979,0.778983,0.715648,0.854616,3.84
161,drywall,segment taping area,0.638791,0.779588,0.791851,0.767699,11.41
61,cracks,segment crack,0.642463,0.782317,0.691412,0.900743,2.40
34,cracks,segment crack,0.644352,0.783715,0.660255,0.963966,2.43
286,cracks,segment crack,0.648375,0.786684,0.811345,0.763477,1.39
318,drywall,segment taping area,0.649025,0.787162,0.745127,0.834223,4.67
187,cracks,segment crack,0.649836,0.787758,0.724535,0.863071,5.04
307,drywall,segment taping area,0.649984,0.787867,0.734488,0.849612,3.46
217,drywall,segment taping area,0.652632,0.789810,0.876412,0.718783,11.41
376,cracks,segment crack,0.654023,0.790827,0.661455,0.983111,7.11
53,cracks,segment crack,0.654942,0.791498,0.684331,0.938462,4.12
59,cracks,segment crack,0.656183,0.792404,0.664984,0.980230,1.15
209,cracks,segment crack,0.656341,0.792519,0.915689,0.698556,8.13
163,cracks,segment crack,0.657731,0.793532,0.865778,0.732414,10.46
27,cracks,segment crack,0.661505,0.796272,0.881238,0.726249,10.21
38,drywall,segment taping area,0.662643,0.797096,0.717058,0.897246,4.65
48,cracks,segment crack,0.662644,0.797097,0.697655,0.929599,6.45
378,cracks,segment crack,0.663264,0.797545,0.829103,0.768302,1.94
154,cracks,segment crack,0.663603,0.797790,0.782138,0.814081,3.55
345,drywall,segment taping area,0.664315,0.798304,0.702960,0.923571,3.46
133,drywall,segment taping area,0.665113,0.798880,0.817387,0.781193,3.48
371,drywall,segment taping area,0.667375,0.800510,0.733119,0.881544,3.48
152,cracks,segment crack,0.670676,0.802880,0.681845,0.976159,1.46
270,cracks,segment crack,0.672108,0.803905,0.695059,0.953171,2.75
82,drywall,segment taping area,0.674280,0.805457,0.688013,0.971249,11.29
193,cracks,segment crack,0.674400,0.805542,0.741707,0.881401,4.27
349,cracks,segment crack,0.675754,0.806508,0.890515,0.736984,5.54
85,cracks,segment crack,0.675945,0.806644,0.758862,0.860847,2.31
272,drywall,segment taping area,0.676033,0.806706,0.998184,0.676865,10.11
281,cracks,segment crack,0.676073,0.806735,0.898872,0.731730,3.99
213,cracks,segment crack,0.679314,0.809038,0.961842,0.698129,4.21
127,cracks,segment crack,0.679411,0.809107,0.906408,0.730670,15.78
146,drywall,segment taping area,0.682330,0.811173,0.779107,0.845992,3.48
126,cracks,segment crack,0.682613,0.811372,0.947384,0.709511,5.35
136,cracks,segment crack,0.683377,0.811912,0.897675,0.741108,9.17
130,drywall,segment taping area,0.684316,0.812574,0.764509,0.867089,2.12
139,cracks,segment crack,0.685006,0.813061,0.713023,0.945750,4.91
4,cracks,segment crack,0.685031,0.813079,0.741805,0.899503,12.64
166,cracks,segment crack,0.685733,0.813572,0.895734,0.745217,7.39
268,drywall,segment taping area,0.686111,0.813839,0.798643,0.829624,8.11
364,cracks,segment crack,0.686784,0.814312,0.732066,0.917377,3.53
277,drywall,segment taping area,0.687292,0.814669,0.978785,0.697686,5.57
69,cracks,segment crack,0.690163,0.816682,0.734818,0.919074,2.60
5,drywall,segment taping area,0.691988,0.817959,0.984648,0.699535,26.28
153,drywall,segment taping area,0.694864,0.819964,0.799358,0.841661,4.05
380,cracks,segment crack,0.695039,0.820086,0.697584,0.994779,2.81
192,cracks,segment crack,0.696923,0.821396,0.737699,0.926516,5.01
296,cracks,segment crack,0.698531,0.822512,0.932027,0.736028,5.08
162,cracks,segment crack,0.701946,0.824875,0.962790,0.721520,5.24
58,cracks,segment crack,0.707025,0.828371,0.877568,0.784397,6.81
100,drywall,segment taping area,0.707191,0.828485,0.945856,0.737027,18.73
302,drywall,segment taping area,0.708175,0.829160,0.710714,0.994981,32.69
244,cracks,segment crack,0.708361,0.829287,0.848115,0.811278,0.96
97,drywall,segment taping area,0.710154,0.830514,0.987546,0.716571,4.00
358,cracks,segment crack,0.712758,0.832293,0.726735,0.973725,8.29
178,cracks,segment crack,0.712875,0.832373,0.806842,0.859572,1.00
2,drywall,segment taping area,0.713929,0.833090,0.996874,0.715530,8.38
374,cracks,segment crack,0.713945,0.833101,0.912316,0.766543,10.29
363,drywall,segment taping area,0.714227,0.833293,0.969011,0.730922,9.32
249,drywall,segment taping area,0.715133,0.833910,0.891574,0.783251,4.77
30,cracks,segment crack,0.716493,0.834833,0.792871,0.881486,2.57
175,cracks,segment crack,0.718314,0.836069,0.934093,0.756664,15.93
350,drywall,segment taping area,0.719294,0.836732,0.988259,0.725493,4.70
246,drywall,segment taping area,0.720298,0.837411,0.800414,0.877993,8.60
362,cracks,segment crack,0.720620,0.837628,0.968339,0.738008,3.34
20,cracks,segment crack,0.723298,0.839435,0.795284,0.888775,7.17
399,cracks,segment crack,0.723315,0.839446,0.759110,0.938798,8.53
205,cracks,segment crack,0.723645,0.839668,0.744068,0.963456,5.08
310,cracks,segment crack,0.724587,0.840302,0.905564,0.783815,30.28
25,cracks,segment crack,0.725724,0.841066,0.990482,0.730820,8.31
280,drywall,segment taping area,0.726275,0.841436,0.729668,0.993638,4.80
225,drywall,segment taping area,0.726775,0.841772,0.888590,0.799640,4.75
343,drywall,segment taping area,0.730477,0.844249,0.997488,0.731823,8.21
326,drywall,segment taping area,0.733439,0.846224,0.782335,0.921476,3.32
398,drywall,segment taping area,0.737585,0.848977,0.801485,0.902453,1.31
375,cracks,segment crack,0.738109,0.849324,0.749544,0.979750,6.15
147,cracks,segment crack,0.738315,0.849461,0.773913,0.941355,3.87
104,drywall,segment taping area,0.739005,0.849917,0.798677,0.908184,4.77
402,cracks,segment crack,0.739613,0.850319,0.832240,0.869200,5.52
190,drywall,segment taping area,0.741433,0.851520,0.782587,0.933771,8.92
283,drywall,segment taping area,0.742616,0.852300,0.989794,0.748346,15.50
95,cracks,segment crack,0.742644,0.852319,0.954728,0.769751,3.54
7,cracks,segment crack,0.743102,0.852620,0.753774,0.981305,1.79
258,cracks,segment crack,0.743538,0.852907,0.984356,0.752429,2.61
267,drywall,segment taping area,0.744456,0.853511,0.890455,0.819510,2.39
