index,dataset,prompt,iou,dice,precision,recall,gt_coverage
92,cracks,segment crack,0.709534,0.830091,0.936099,0.745650,9.58
387,cracks,segment crack,0.711237,0.831255,0.773285,0.898620,3.10
114,cracks,segment crack,0.714687,0.833606,0.822153,0.845382,3.60
139,cracks,segment crack,0.716387,0.834762,0.797314,0.875900,4.91
296,cracks,segment crack,0.717506,0.835521,0.929636,0.758710,5.08
193,cracks,segment crack,0.718102,0.835924,0.749807,0.944390,4.27
214,drywall,segment taping area,0.718802,0.836399,0.985471,0.726500,12.01
147,cracks,segment crack,0.720103,0.837279,0.749850,0.947787,3.87
363,drywall,segment taping area,0.720822,0.837765,0.962076,0.741903,9.32
61,cracks,segment crack,0.721116,0.837963,0.796115,0.884455,2.40
74,cracks,segment crack,0.721148,0.837985,0.737748,0.969743,10.82
207,drywall,segment taping area,0.721648,0.838322,0.723081,0.997261,14.53
97,drywall,segment taping area,0.722073,0.838609,0.996637,0.723837,4.00
358,cracks,segment crack,0.722274,0.838745,0.735623,0.975493,8.29
30,cracks,segment crack,0.722330,0.838782,0.725689,0.993632,2.57
209,cracks,segment crack,0.724288,0.840101,0.942318,0.757890,8.13
378,cracks,segment crack,0.725716,0.841060,0.840110,0.842013,1.94
3,drywall,segment taping area,0.726937,0.841880,0.728169,0.997678,6.41
225,drywall,segment taping area,0.727410,0.842197,0.869901,0.816204,4.75
267,drywall,segment taping area,0.728116,0.842670,0.799798,0.890398,2.39
146,drywall,segment taping area,0.728381,0.842847,0.818645,0.868524,3.48
366,drywall,segment taping area,0.728792,0.843123,0.969603,0.745833,8.36
352,cracks,segment crack,0.729238,0.843422,0.766406,0.937645,5.79
80,drywall,segment taping area,0.729660,0.843704,0.731091,0.997325,28.57
191,cracks,segment crack,0.730232,0.844086,0.752719,0.960696,1.25
71,drywall,segment taping area,0.730453,0.844233,0.814496,0.876224,8.38
52,cracks,segment crack,0.731962,0.845240,0.895593,0.800248,7.29
20,cracks,segment crack,0.733176,0.846049,0.843444,0.848671,7.17
285,cracks,segment crack,0.733562,0.846306,0.743810,0.981565,3.67
346,drywall,segment taping area,0.735644,0.847690,0.783817,0.922897,66.81
259,drywall,segment taping area,0.737656,0.849024,0.895661,0.807004,16.35
69,cracks,segment crack,0.737663,0.849029,0.851391,0.846680,2.60
142,drywall,segment taping area,0.737746,0.849084,0.742818,0.990831,5.94
402,cracks,segment crack,0.739029,0.849933,0.848566,0.851304,5.52
353,drywall,segment taping area,0.740098,0.850639,0.775637,0.941700,5.41
252,drywall,segment taping area,0.740892,0.851164,0.993822,0.744320,7.02
347,drywall,segment taping area,0.741301,0.851434,0.932929,0.783032,8.92
256,drywall,segment taping area,0.742013,0.851903,0.743079,0.998071,24.80
64,drywall,segment taping area,0.743044,0.852582,0.746620,0.993595,9.80
262,cracks,segment crack,0.744893,0.853798,0.760503,0.973184,1.91
178,cracks,segment crack,0.748374,0.856080,0.906793,0.810739,1.00
126,cracks,segment crack,0.748511,0.856170,0.909002,0.809141,5.35
