index,dataset,prompt,iou,dice,precision,recall,gt_coverage
383,drywall,segment taping area,0.829029,0.906524,0.871662,0.944290,9.47
331,drywall,segment taping area,0.829953,0.907076,0.952993,0.865380,17.30
279,drywall,segment taping area,0.829962,0.907081,0.841470,0.983790,8.27
64,drywall,segment taping area,0.830126,0.907179,0.848214,0.974955,9.80
325,drywall,segment taping area,0.831141,0.907785,0.999598,0.831419,15.33
47,drywall,segment taping area,0.831952,0.908268,0.840540,0.987868,7.79
400,drywall,segment taping area,0.832767,0.908754,0.880521,0.938856,18.79
195,drywall,segment taping area,0.834093,0.909543,0.958141,0.865637,7.02
261,drywall,segment taping area,0.834599,0.909844,0.857599,0.968867,18.83
321,drywall,segment taping area,0.836451,0.910943,0.913071,0.908824,5.41
99,drywall,segment taping area,0.839287,0.912622,0.967888,0.863326,3.44
273,drywall,segment taping area,0.839614,0.912816,0.983275,0.851779,22.39
340,drywall,segment taping area,0.840333,0.913240,0.952006,0.877508,3.80
256,drywall,segment taping area,0.840984,0.913625,0.847080,0.991516,24.80
189,drywall,segment taping area,0.841055,0.913666,0.868845,0.963364,26.10
252,drywall,segment taping area,0.841262,0.913788,0.991692,0.847232,7.02
111,drywall,segment taping area,0.842505,0.914521,0.856566,0.980887,42.49
76,drywall,segment taping area,0.842802,0.914696,0.859528,0.977431,15.42
37,drywall,segment taping area,0.844113,0.915468,0.998067,0.845495,11.78
351,drywall,segment taping area,0.844770,0.915854,0.857180,0.983150,16.23
129,drywall,segment taping area,0.845107,0.916052,0.931653,0.900965,58.88
157,drywall,segment taping area,0.845241,0.916131,0.863912,0.975067,23.55
215,cracks,segment crack,0.847588,0.917507,0.889063,0.947832,2.05
52,cracks,segment crack,0.847706,0.917577,0.937701,0.898298,7.29
142,drywall,segment taping area,0.847940,0.917714,0.910581,0.924959,5.94
214,drywall,segment taping area,0.848645,0.918127,0.993143,0.853647,12.01
155,drywall,segment taping area,0.850001,0.918919,0.876102,0.966137,15.30
180,cracks,segment crack,0.850600,0.919270,0.938785,0.900550,2.27
324,drywall,segment taping area,0.850938,0.919467,0.875063,0.968618,7.02
237,drywall,segment taping area,0.853033,0.920689,0.956937,0.887086,10.27
100,drywall,segment taping area,0.853050,0.920698,0.881248,0.963846,18.73
86,drywall,segment taping area,0.854024,0.921266,0.865443,0.984787,11.47
103,drywall,segment taping area,0.855529,0.922140,0.898221,0.947368,6.79
361,drywall,segment taping area,0.855747,0.922267,0.887672,0.959668,25.47
